Designator,Mid X,Mid Y,Rotation,Layer
C1,124.042893,-123.777107,90.0,bottom
C10,120.492893,-111.507107,0.0,bottom
C2,127.555786,-127.214214,180.0,bottom
C3,127.535786,-128.464214,180.0,bottom
C4,146.792893,-104.257107,0.0,top
C5,114.792893,-126.507107,0.0,bottom
C6,137.292893,-104.237107,90.0,bottom
C7,123.072893,-108.257107,180.0,top
C8,123.072893,-109.357107,180.0,top
C9,120.492893,-110.407107,0.0,bottom
D1,132.997893,-101.757107,180.0,top
D3,137.292893,-98.742107,90.0,top
J1,108.042893,-130.257107,90.0,top
J3,142.542893,-99.257107,270.0,top
J4,147.042893,-128.257107,270.0,bottom
J5,111.542893,-99.507107,90.0,top
J7,114.542893,-130.232107,270.0,top
LED2,111.542893,-115.507107,90.0,top
LED3,148.042893,-98.8,0.0,top
Q1,123.967893,-126.964607,90.0,bottom
Q4,141.267893,-129.607107,0.0,bottom
Q5,110.542893,-124.757107,90.0,bottom
Q6,112.292893,-108.007107,180.0,bottom
Q8,135.292893,-111.507107,180.0,bottom
R1,122.792893,-123.527107,90.0,bottom
R10,122.492893,-117.307107,270.0,bottom
R13,138.792893,-99.982107,90.0,top
R14,118.292893,-115.757107,180.0,bottom
R15,149.5,-101.3,90.0,top
R16,146.542893,-101.3,90.0,top
R17,148.042893,-101.3,90.0,top
R18,140.267893,-125.757107,270.0,bottom
R19,142.792893,-125.782107,270.0,bottom
R2,125.292893,-123.527107,270.0,bottom
R20,105.792893,-117.507107,0.0,bottom
R21,118.292893,-117.159607,180.0,bottom
R22,105.792893,-116.007107,180.0,bottom
R23,105.792893,-114.507107,180.0,bottom
R24,118.292893,-114.257107,0.0,bottom
R25,105.792893,-113.007107,180.0,bottom
R26,111.042893,-122.007107,180.0,bottom
R27,115.692893,-108.304607,270.0,bottom
R28,121.592893,-127.807107,270.0,top
R29,126.792893,-127.757107,270.0,top
R3,136.042893,-99.007107,270.0,top
R30,132.042893,-127.757107,270.0,top
R31,137.292893,-127.757107,270.0,top
R32,142.542893,-127.757107,270.0,top
R33,147.542893,-127.757107,270.0,top
R35,127.542893,-106.007107,270.0,top
R4,118.042893,-122.007107,0.0,bottom
R5,119.292893,-127.757107,180.0,bottom
R6,119.292893,-129.507107,180.0,bottom
R7,119.390393,-131.104607,0.0,bottom
R8,138.542893,-104.007107,270.0,bottom
R9,123.392893,-106.257107,90.0,top
RST,142.542893,-103.007107,270.0,top
U1,123.527893,-129.267107,270.0,top
U10,144.327893,-129.267107,270.0,top
U11,149.527893,-129.267107,270.0,top
U12,125.152893,-100.922107,180.0,top
U13,125.190393,-106.404607,270.0,top
U2,127.992893,-124.257107,90.0,bottom
U3,117.792893,-124.869607,270.0,bottom
U4,124.792893,-113.194607,0.0,top
U5,111.542893,-115.507107,0.0,bottom
U6,138.402893,-115.507107,270.0,top
U7,128.727893,-129.267107,270.0,top
U8,133.927893,-129.267107,270.0,top
U9,139.127893,-129.267107,270.0,top
