Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",402,4,10uF,C15525
"C10, C8",402,2,100n,C1525
"C3, C6",402,2,1uF,C52923
"C7, C9",402,2,1u,C52923
D1,D_SOD-123,1,MBR120,C7422640
D3,402,1,3V3,C401113
LED2,LED-SEG-SMD_SLS0392FW2A1GD,1,SLS0392FW2A1GD,C226001
LED3,LED-ARRAY-SMD_4P-L1.6-W1.6-TR_EVERLIGHT_RSGHBHW1-S03,1,19-037A/RSGHBHW1-S03/2T,C282128
"Q1, Q5, Q6",SOT-23,3,DMG3415U,C96616
Q4,SOT-23,1,NPN,C426841
Q8,SOT-363_L2.0-W1.3-P0.65-LS2.1-TL,1,LMUN5214DW1T1G,C136173
"R1, R2, R6, R7, R8",402,5,100K,C25741
R10,402,1,4K7,C328322
"R13, R5",402,2,10k,C25744
"R14, R20, R21, R22, R23, R24, R25, R28, R29, R30, R31, R32, R33",402,13,330,C25104
R15,402,1,150,C445579
"R16, R17, R19",402,3,100,C186115
"R18, R26, R27, R3",402,4,1k,C11702
"R35, R9",402,2,5K1,C25905
R4,402,1,4.7K,C328322
U1,LED1206-RD,1,APTD3216SECK,C5569593
"U10, U11, U7, U8, U9",LED1206-RD,5,APTD3216SECK,C5879029
U12,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
U13,SOT-666,1,USBLC6-2P6,C2827693
U2,SOT-23-5,1,AP2112K-3.3,C3021085
U3,SOT-23-5,1,MCP73831-2-OT,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
U5,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,SN74HC164DR,C5419
U6,WIFIM-SMD_ESP32-WROOM-32-N4,1,ESP32-WROOM-32,C82899
